NOM_USUEL,AAAAMMJJHH,RR1,T,U
TOULOUSE-BLAGNAC,2024010100,0,5.6,88
TOULOUSE-BLAGNAC,2024010101,0,4.9,90
TOULOUSE-BLAGNAC,2024010102,0,4.8,92
TOULOUSE-BLAGNAC,2024010103,0,4.9,92
TOULOUSE-BLAGNAC,2024010104,0,4.9,92
TOULOUSE-BLAGNAC,2024010105,0,5,91
TOULOUSE-BLAGNAC,2024010106,0,5.1,91
TOULOUSE-BLAGNAC,2024010107,0,5.4,91
TOULOUSE-BLAGNAC,2024010108,0,5.8,87
TOULOUSE-BLAGNAC,2024010109,0,6.6,84
TOULOUSE-BLAGNAC,2024010110,0,8.5,80
TOULOUSE-BLAGNAC,2024010111,0,11.1,66
TOULOUSE-BLAGNAC,2024010112,0,11.5,59
TOULOUSE-BLAGNAC,2024010113,0,12.7,58
TOULOUSE-BLAGNAC,2024010114,0,13,57
TOULOUSE-BLAGNAC,2024010115,0,13.6,55
TOULOUSE-BLAGNAC,2024010116,0,12.3,58
TOULOUSE-BLAGNAC,2024010117,0,10,67
TOULOUSE-BLAGNAC,2024010118,0,7.9,78
TOULOUSE-BLAGNAC,2024010119,0,6.9,82
TOULOUSE-BLAGNAC,2024010120,0,6.4,84
TOULOUSE-BLAGNAC,2024010121,0,5.2,88
TOULOUSE-BLAGNAC,2024010122,0,4.5,90
TOULOUSE-BLAGNAC,2024010123,0,3.9,90
TOULOUSE-BLAGNAC,2024010200,0,3.6,90
TOULOUSE-BLAGNAC,2024010201,0,3.8,90
TOULOUSE-BLAGNAC,2024010202,0,3.8,90
TOULOUSE-BLAGNAC,2024010203,0,4,90
TOULOUSE-BLAGNAC,2024010204,0,4.6,85
TOULOUSE-BLAGNAC,2024010205,0,4.7,85
TOULOUSE-BLAGNAC,2024010206,0,4.3,85
TOULOUSE-BLAGNAC,2024010207,0,4.5,87
TOULOUSE-BLAGNAC,2024010208,0,4.5,88
TOULOUSE-BLAGNAC,2024010209,0,5.9,85
TOULOUSE-BLAGNAC,2024010210,0,9.2,81
TOULOUSE-BLAGNAC,2024010211,0,9.8,77
TOULOUSE-BLAGNAC,2024010212,0,11,75
TOULOUSE-BLAGNAC,2024010213,0,12.2,69
TOULOUSE-BLAGNAC,2024010214,0,11.8,74
TOULOUSE-BLAGNAC,2024010215,0,11.8,73
TOULOUSE-BLAGNAC,2024010216,0,11.3,75
TOULOUSE-BLAGNAC,2024010217,0,10.8,76
TOULOUSE-BLAGNAC,2024010218,0,10.7,76
TOULOUSE-BLAGNAC,2024010219,0,10.1,80
TOULOUSE-BLAGNAC,2024010220,0,9.8,81
TOULOUSE-BLAGNAC,2024010221,0,9.6,83
TOULOUSE-BLAGNAC,2024010222,0,9.4,88
TOULOUSE-BLAGNAC,2024010223,0,9,89
TOULOUSE-BLAGNAC,2024010300,0,8.5,88
TOULOUSE-BLAGNAC,2024010301,0,7.1,92
TOULOUSE-BLAGNAC,2024010302,0,6.4,94
TOULOUSE-BLAGNAC,2024010303,0,6.7,96
TOULOUSE-BLAGNAC,2024010304,0,6.8,95
TOULOUSE-BLAGNAC,2024010305,0,6.5,96
TOULOUSE-BLAGNAC,2024010306,0,7.1,95
TOULOUSE-BLAGNAC,2024010307,0,7.8,94
TOULOUSE-BLAGNAC,2024010308,0,8.2,91
TOULOUSE-BLAGNAC,2024010309,0,8.6,89
TOULOUSE-BLAGNAC,2024010310,0,9.2,87
TOULOUSE-BLAGNAC,2024010311,0,9.8,87
TOULOUSE-BLAGNAC,2024010312,0,10.7,82
TOULOUSE-BLAGNAC,2024010313,0,12,80
TOULOUSE-BLAGNAC,2024010314,0,12.6,81
TOULOUSE-BLAGNAC,2024010315,0,13.8,71
TOULOUSE-BLAGNAC,2024010316,0,13.4,74
TOULOUSE-BLAGNAC,2024010317,0,13.2,73
TOULOUSE-BLAGNAC,2024010318,0,12.9,74
TOULOUSE-BLAGNAC,2024010319,0,12.6,74
TOULOUSE-BLAGNAC,2024010320,0,12.3,73
TOULOUSE-BLAGNAC,2024010321,0,11.9,74
TOULOUSE-BLAGNAC,2024010322,0,11.8,74
TOULOUSE-BLAGNAC,2024010323,0,11.1,74
TOULOUSE-BLAGNAC,2024010400,0,10.4,77
TOULOUSE-BLAGNAC,2024010401,0,10.3,77
TOULOUSE-BLAGNAC,2024010402,0,10.5,77
TOULOUSE-BLAGNAC,2024010403,0,10.1,77
TOULOUSE-BLAGNAC,2024010404,0,7.4,86
TOULOUSE-BLAGNAC,2024010405,0,6.5,90
TOULOUSE-BLAGNAC,2024010406,0,5.7,93
TOULOUSE-BLAGNAC,2024010407,0,4.9,93
TOULOUSE-BLAGNAC,2024010408,0,5.1,93
TOULOUSE-BLAGNAC,2024010409,0,7.9,86
TOULOUSE-BLAGNAC,2024010410,0,10.2,76
TOULOUSE-BLAGNAC,2024010411,0,12.2,70
TOULOUSE-BLAGNAC,2024010412,0,14.4,63
TOULOUSE-BLAGNAC,2024010413,0,15.5,60
TOULOUSE-BLAGNAC,2024010414,0,15.7,59
TOULOUSE-BLAGNAC,2024010415,0,14.5,62
TOULOUSE-BLAGNAC,2024010416,0,13.2,66
TOULOUSE-BLAGNAC,2024010417,0,10.6,74
TOULOUSE-BLAGNAC,2024010418,0,9.6,80
TOULOUSE-BLAGNAC,2024010419,0,9.2,85
TOULOUSE-BLAGNAC,2024010420,0,8.5,89
TOULOUSE-BLAGNAC,2024010421,0,8.1,90
TOULOUSE-BLAGNAC,2024010422,0,7.7,90
TOULOUSE-BLAGNAC,2024010423,0,7.4,92
TOULOUSE-BLAGNAC,2024010500,0,7.4,92
TOULOUSE-BLAGNAC,2024010501,0,7.3,93
TOULOUSE-BLAGNAC,2024010502,0,7.2,94
TOULOUSE-BLAGNAC,2024010503,0,7.2,94
TOULOUSE-BLAGNAC,2024010504,0,7.2,94
TOULOUSE-BLAGNAC,2024010505,0.2,7.5,95
TOULOUSE-BLAGNAC,2024010506,0.2,7.4,95
TOULOUSE-BLAGNAC,2024010507,0.4,7.6,96
TOULOUSE-BLAGNAC,2024010508,0.8,8.2,94
TOULOUSE-BLAGNAC,2024010509,0.2,8.2,94
TOULOUSE-BLAGNAC,2024010510,0.4,8.2,94
TOULOUSE-BLAGNAC,2024010511,0,8.7,92
TOULOUSE-BLAGNAC,2024010512,0.2,8.6,89
TOULOUSE-BLAGNAC,2024010513,0,8.9,87
TOULOUSE-BLAGNAC,2024010514,0,9,86
TOULOUSE-BLAGNAC,2024010515,0,8.6,88
TOULOUSE-BLAGNAC,2024010516,0,8.3,88
TOULOUSE-BLAGNAC,2024010517,0,8.1,88
TOULOUSE-BLAGNAC,2024010518,0,7.8,88
TOULOUSE-BLAGNAC,2024010519,0.4,7.2,90
TOULOUSE-BLAGNAC,2024010520,0,7,91
TOULOUSE-BLAGNAC,2024010521,0,7.1,91
TOULOUSE-BLAGNAC,2024010522,0,6.8,93
TOULOUSE-BLAGNAC,2024010523,0.4,6.8,94
TOULOUSE-BLAGNAC,2024010600,0,7.1,94
TOULOUSE-BLAGNAC,2024010601,0,7.3,93
TOULOUSE-BLAGNAC,2024010602,0,6.8,91
TOULOUSE-BLAGNAC,2024010603,0,6.2,92
TOULOUSE-BLAGNAC,2024010604,0,6,93
TOULOUSE-BLAGNAC,2024010605,0,5.5,94
TOULOUSE-BLAGNAC,2024010606,0,5.5,94
TOULOUSE-BLAGNAC,2024010607,0,5.8,94
TOULOUSE-BLAGNAC,2024010608,0,6,93
TOULOUSE-BLAGNAC,2024010609,0,6.5,90
TOULOUSE-BLAGNAC,2024010610,0,6.9,89
TOULOUSE-BLAGNAC,2024010611,0,7.1,85
TOULOUSE-BLAGNAC,2024010612,0,7.9,80
TOULOUSE-BLAGNAC,2024010613,0,8,76
TOULOUSE-BLAGNAC,2024010614,0,8,73
TOULOUSE-BLAGNAC,2024010615,0,8,69
TOULOUSE-BLAGNAC,2024010616,0,7,76
TOULOUSE-BLAGNAC,2024010617,0,6.6,77
TOULOUSE-BLAGNAC,2024010618,0,6.3,83
TOULOUSE-BLAGNAC,2024010619,0,6.3,84
TOULOUSE-BLAGNAC,2024010620,0,6.2,82
