NAME,START DATE,END DATE,LOCATION,STATION
OTELLO,2025-04-26,2026-04-24,OPÉRA NATIONAL DU CAPITOLE,Métro ligne A - Station Capitole
LES DIMANCHES DE CRÉATEURS,2025-05-04,2025-11-30,PLACE SAINT-PIERRE,Métro ligne A - Station Capitole
ETIENNE EN QUÊTE !,2025-06-14,2025-12-31,CHAPELLE DE LA GRAVE,Métro ligne A - Saint Cyprien - République
ENQUÊTE AVEC CARMELA,2025-06-18,2025-12-31,CHAPELLE DES CARMELITES,Métro ligne B - Station Jeanne d'Arc
BROCANTE DES ALLÉES,2025-07-04,2025-12-07,ALLÉES FRANÇOIS VERDIER,Métro ligne B - Station François Verdier
TOULOUSE BY NIGHT,2025-09-12,2025-12-31,OFFICE DE TOURISME DE TOULOUSE,Métro ligne A - station Capitole
AU COEUR DU QUARTIER SAINT-ÉTIENNE,2025-09-12,2025-12-26,PLACE DE LA CATHÉDRALE SAINT-ÉTIENNE,Métro ligne A - Station Capitole
TOULOUSE : L'ESSENTIEL,2025-09-13,2025-12-27,OFFICE DE TOURISME DE TOULOUSE,Métro ligne A - Station Capitole
TOULOUSE Y SUS MONUMENTOS,2025-09-13,2025-12-27,OFFICE DE TOURISME DE TOULOUSE,Metro linea A - Parada Capitole
TOULOUSE SECRÈTE OU LA VILLE MÉCONNUE,2025-09-14,2025-12-24,OFFICE DE TOURISME DE TOULOUSE,Métro ligne A - Station Capitole
PETIT TOUR DANS LES COURS,2025-09-17,2025-12-31,OFFICE DE TOURISME DE TOULOUSE,Métro ligne A - Station Capitole
DOMAINE DE CANDIE,2025-09-18,2025-12-11,DOMAINE DE CANDIE,Métro ligne A - station Basso Cambo puis bus N°58 ou 85 arrêt Rond-point de l'Espace
"HENRI-GEORGES ADAM, UN MODERNE RÉVÉLÉ",2025-09-18,2026-01-18,DIVERS LIEUX,Métro ligne B Palais de Justice ou Carmes
LEVER DE RIDEAU AU THÉÂTRE DU CAPITOLE,2025-09-19,2025-12-29,OFFICE DE TOURISME DE TOULOUSE,Métro ligne A - Station Capitole
BIBLIOTHÈQUE D'ÉTUDE ET DU PATRIMOINE : 90 ANS D'HISTOIRE,2025-09-20,2025-12-31,BIBLIOTHÈQUE D'ÉTUDE ET DU PATRIMOINE,Métro ligne B - Station Jeanne d'Arc
ASSEMBLAGES. PRENDRE SOIN DES CHOSES,2025-09-26,2026-09-27,"LES ABATTOIRS, MUSÉE - FRAC OCCITANIE TOULOUSE",Métro ligne A - Station Saint-Cyprien République
GUIDED TOUR OF THE COUVENT DES JACOBINS,2025-09-28,2025-12-21,COUVENT DES JACOBINS,Métro ligne A - Station Capitole
LA CHAPELLE DES CARMÉLITES,2025-10-02,2025-12-18,CHAPELLE DES CARMELITES,Métro ligne B - Station Jeanne d'Arc
LAISSE BÉTON !,2025-10-03,2025-12-05,INESSENTIEL SPACE,Métro ligne A station Esquirol
LES NUITS DE LA PLEINE LUNE,2025-10-07,2025-12-05,LA CAVE POÉSIE,Métro ligne A - Station Capitole
JEU DE PISTE NOCTURNE : LE TRÉSOR PERDU,2025-10-09,2025-12-11,CHAPELLE DE LA GRAVE,Métro ligne A - Saint Cyprien - République
LUMIERE SUR LE BAZACLE,2025-10-10,2025-12-30,DEVANT LES ESPACES EDF BAZACLE,Métro ligne B - Station Compans Caffarelli
ARCHI FOOTING,2025-10-11,2026-02-14,ESPACE PATRIMOINE,Métro ligne A - Station Capitole
TOULOUSE A LA RENAISSANCE,2025-10-15,2025-12-09,OFFICE DE TOURISME DE TOULOUSE,Métro ligne A - Station Capitole
VISITE SENSORIELLE,2025-10-16,2025-12-04,COUVENT DES JACOBINS,Métro ligne A - Station Capitole
DOMESTIQUE-MOI SI TU PEUX !,2025-10-17,2026-07-05,MUSÉUM DE TOULOUSE,Métro ligne B - Station Palais de Justice
ÉGLISE DU GESÙ,2025-10-17,2025-12-30,EGLISE DU GESU,Métro ligne B - Station Carmes ou Palais de justice
LES CHEVALIERS DU FIEL,2025-10-18,2025-11-30,LA COMÉDIE DE TOULOUSE,Métro ligne B Station Jeanne d'Arc
GRAFF TOUR,2025-10-21,2025-12-22,PLACE ARNAUD BERNARD - DEVANT LA PHARMACIE DU PALAIS DES SPORTS,Métro ligne B - Station Compans Caffarelli
BIEN MANGER À ST-CYP',2025-10-22,2025-11-29,DEVANT L'ENTRÉE DU CHÂTEAU D'EAU,Métro ligne A - Station Saint-Cyprien République
LE CIRCUIT ÉNIGME,2025-10-23,2025-12-26,OFFICE DE TOURISME DE TOULOUSE,Métro ligne A - Station Capitole
MEURTRE AUX JACOBINS,2025-10-23,2025-12-18,COUVENT DES JACOBINS,Métro ligne A - Station Capitole
JEU DE PISTE NOCTURNE,2025-10-23,2025-12-18,CHAPELLE DES CARMELITES,Métro ligne B - Station Jeanne d'Arc
GENESIS,2025-10-24,2025-12-21,ÉGLISE DU GÉSU,Métro ligne B - Station Carmes
VIRTUOSE HALLE AUX GRAINS,2025-10-24,2025-12-11,DEVANT LA HALLE AUX GRAINS,Métro ligne B - Station François-Verdier
PALAIS DE JUSTICE OU LA VILLE ENFOUIE,2025-10-25,2025-12-13,ENTRÉE PRINCIPALE DU PALAIS DE JUSTICE,Métro ligne B - Station Palais de Justice
ODYSSÉE,2025-10-27,2025-11-29,THEATRE DE LA VIOLETTE,Métro ligne B - Station Borderouge
LES CATHARES À TOULOUSE,2025-10-29,2025-12-03,OFFICE DE TOURISME DE TOULOUSE,Métro ligne A - Station Capitole
LA BOULE,2025-10-30,2025-12-12,DEVANT L'ENTRÉE DU CEMES,Métro ligne B - Station Saouzelong
QUI EST LE POÈME,2025-11-05,2026-02-01,CHAPELLE DES CARMELITES,Métro ligne B - Station Jeanne d'Arc
SUPERNOVA,2025-11-12,2025-11-28,DIVERS LIEUX,Métro ligne B - Station Carmes ou Palais de Justice - Tramway ligne T1 et T2 - Arrêt Palais de Justice
SUR LES PAS DE NOUGARO,2025-11-16,2025-12-21,PLACE ARNAUD BERNARD,Métro ligne B - Station Compans-Caffarelli
DON GIOVANNI,2025-11-20,2025-11-30,OPÉRA NATIONAL DU CAPITOLE,Métro ligne A - Station Capitole
LE MOCHE,2025-11-20,2025-12-05,L'ODYSSÉE SPECTACLE,
SOPHIE ZÉNON «L'HUMUS DU MONDE »,2025-11-22,2026-03-08,CHATEAU D'EAU,Métro ligne A - Station St-Cyprien-Republique ou Esquirol
SYSTÈME D,2025-11-25,2025-11-25,CENTRE CULTUREL BONNEFOY,Métro ligne A - Station Marengo SNCF
"TISSER LE MONDE, BRODER L’IDENTITÉ",2025-11-26,2026-01-19,THÉÂTRE DES MAZADES,Métro ligne B - Station Minimes Claude Nougaro
CROISIERE DE NOËL,2025-11-26,2025-12-21,EMBARQUEMENT PORT ST-SAUVEUR,Métro ligne B - Station François-Verdier
L'ÎLE DES RÊVES PERDUS,2025-11-26,2025-11-30,THEATRE DE LA VIOLETTE,Métro ligne B - Station Borderouge
VIVANT,2025-11-26,2025-11-29,THÉÂTRE LE FIL À PLOMB,Métro ligne B - Station Jeanne d'Arc
LE MANÈGE SAPIN DE NOËL,2025-11-27,2026-01-10,DEVANT LE SQUARE CHARLES DE GAULLE,Métro ligne A - Station Capitole
MAISON DU PÈRE NOËL,2025-11-27,2025-12-24,SQUARE CHARLES DE GAULLE,Métro ligne A - Station Capitole
MARCHÉ DE NOËL AU SQUARE CHARLES DE GAULLE,2025-11-27,2025-12-28,SQUARE CHARLES DE GAULLE,Métro ligne A ou B - Station Jean Jaurès
MARIE RENO,2025-11-27,2025-11-27,CAFE THEATRE LES 3T,Métro ligne A ou B - Station Jean Jaurès
DANS LES BRAS D’PIT,2025-11-27,2025-11-29,LE CITRON BLEU,Métro ligne B station Carmes - ligne A station Esquirol
FRAGMENTS #5,2025-11-27,2025-11-30,HOTEL-DIEU-SAINT-JACQUES,"Métro ligne A - Station ""St-Cyprien République"""
MARCHÉ DE NOËL PLACE DU CAPITOLE,2025-11-27,2025-12-28,PLACE DU CAPITOLE,Métro ligne A ou B - Station Jean Jaurès
PATINOIRE DE TOULOUSE,2025-11-27,2026-01-04,PLACE DU CAPITOLE,Métro ligne A - Station Capitole
TERRENOIRE + CLAIRE GIMATT,2025-11-27,2025-11-27,LE METRONUM,Métro ligne B - Station Borderouge
